1;(T)Raumschiff Surprise - Periode 1;84;Komödie;2004;6;5;24.90;D
2;007 - Diamantenfieber;115;Action;1971;16;3;22.90;GB
3;007 - Ein Quantum Trost;106;Action;2008;12;6;26.50;GB/USA
4;007 - GoldenEye;125;Action;1995;16;3;24.50;GB/USA
5;007 - Goldfinger;105;Action;1964;16;3;22.90;GB/USA
6;007 - James Bond jagt Dr. No;105;Action;1962;16;3;22.90;GB/USA
7;007 - Stirb an einem andern Tag;127;Action;2002;12;4;24.90;GB/USA
8;10 Dinge die ich an dir hasse;93;Komödie;1999;12;3;14.90;USA
9;12 Monkeys;125;Science-Fiction & Fantasy;1995;16;3;12.00;USA
10;1492 - Die Eroberung des Paradieses;149;Abenteuer;1992;16;3;16.50;USA/GB/F/E
11;2 Fast 2 Furious;103;Action;2003;16;4;19.90;USA/D
12;2012;158;Science-Fiction & Fantasy;2009;12;6;29.90;USA
13;3 Engel für Charlie;94;Action;2000;12;3;14.90;USA
14;40 Tage 40 Nächte;91;Komödie;2002;12;4;19.90;USA/GB/F
15;50 erste Dates;95;Komödie;2004;6;5;19.90;USA
16;7 Zwerge - Männer allein im Wald;85;Komödie;2004;0;5;24.90;D
17;Achtung, Fertig, Charlie!;88;Komödie;2004;12;5;29.90;CH
18;Akte, Die;135;Thriller;1993;12;3;24.90;USA
19;Alien;112;Horror;1979;16;3;26.50;USA/GB
20;American History X;114;Drama;1998;16;3;27.50;USA
21;American Pie 1;95;Komödie;1999;12;3;29.90;USA
22;American Pie 2;108;Komödie;2001;12;4;24.90;USA
23;American Pie 3;95;Komödie;2003;16;4;24.90;USA
24;Animatrix;97;Action;2003;16;4;22.50;USA
25;Anschlag, Der;119;Action;2002;12;4;21.00;USA/D
26;Apocalypse Now Redux;153;Krieg;1979;16;3;19.90;USA
27;Armageddon - Das jüngste Gericht;144;Action;1998;12;3;19.90;USA
28;Asterix & Obelix - Mission Kleopatra;107;Komödie;2002;6;4;24.90;F/D
29;Autobahnraser;87;Komödie;2004;12;5;27.50;D/L
30;Avalon - Spiel um dein Leben;106;Fantasy;2001;106;4;27.50;J/PL
31;Avatar;178;Science-Fiction & Fantasy;2009;12;6;32.50;USA
32;Bad Boys II;141;Action;2003;16;4;24.50;USA
33;Band of Brothers;603;Krieg;2001;18;4;22.50;USA/GB
34;Barfuss;110;Drama;2004;6;5;27.50;D
35;Batman & Robin;120;Science-Fiction & Fantasy;1997;12;3;24.90;USA
36;Ben Hur;214;Drama;1959;16;3;32.50;USA
37;Black Hawk Down;142;Action;2001;16;4;24.50;USA
38;Blair Witch Project;78;Horror;1999;12;3;26.00;USA
39;Boot, Das;143;Action;1981;12;3;29.90;D
40;Bourne Identität, Die;119;Thriller;2002;12;4;24.50;USA
41;Bourne Ultimatum, Das;111;Action;2007;16;5;22.50;USA
42;Bourne Verschwörung, Die;108;Abenteuer;2004;12;5;22.50;USA
43;Bowling for Columbine;114;Dokumentarfilme;2002;12;4;28.00;CDN/USA/D
44;Braveheart;171;Action;1995;16;3;24.90;USA
45;Butterfly Effect;109;Drama;2004;16;5;26.50;USA
46;Cast Away - Verschollen;138;Abenteuer;2000;12;3;24.90;USA
47;Catch Me If You Can;135;Action;2002;6;4;27.50;USA
48;Catwoman;104;Action;2004;12;5;24.90;USA
49;Cube;87;Horror;1997;16;3;19.90;CDN
50;Cube 2: Hypercube;90;Horror;2002;16;4;24.90;CDN
51;Das fünfte Element;121;Science-Fiction & Fantasy;1997;12;3;25.90;F
52;Day After Tomorrow, The;118;Science-Fiction & Fantasy;2004;12;5;26.50;USA
53;Deep Blue Sea;105;Action;1999;16;3;24.90;USA
54;Déjà Vu - Wettlauf gegen die Zeit;121;Thriller;2006;12;5;24.90;USA
55;Donnie Darko;108;Drama;2001;16;4;22.50;USA
56;EDtv;118;Komödie;1999;12;3;27.50;USA
57;Enigma;122;Thriller;1983;12;3;29.50;GB/F
58;Evolution;97;Komödie;2001;12;4;22.50;USA
59;Extreme Rage;105;Action;2003;16;4;24.90;USA
60;Fahrenheit 9/11;123;Dokumentarfilme;2004;12;5;27.50;USA
61;Feuer, Eis & Dosenbier;80;Komödie;2002;12;4;14.90;D/SK
62;Final Destination;94;Horror;2000;16;3;27.50;USA
63;Final Destination 4;82;Horror;2009;18;6;27.50;USA
64;Final Fantasy: Die Mächte in dir;112;Abenteuer;2001;12;4;29.90;USA/J
65;Findet Nemo;96;Abenteuer;2003;0;4;27.50;USA
66;Firewall;102;Action;2006;16;5;24.90;USA
67;Fluch der Karibik;136;Abenteuer;2003;12;4;24.90;USA
68;Fluch von Darkness Falls, Der;82;Horror;2003;16;4;28.00;USA
69;Forrest Gump;136;Drama;1994;12;3;23.00;USA
70;Freddy Vs. Jason;93;Horror;2003;18;4;29.00;USA/I
71;Ghostwriter, Der;128;Thriller;2010;12;7;32.50;F/D/GB
72;Gladiator;149;Action;2000;16;3;27.50;GB/USA
73;Good Bye, Lenin!;121;Drama;2003;6;4;29.90;D
74;Good Morning Vietnam;116;Komödie;1987;12;3;22.50;USA
75;Graf von Monte Christo, Der;388;Abenteuer;1998;12;3;34.90;F/I/D
76;Handyman;93;Komödie;2006;0;5;32.50;CH
77;Happy Tree Friends;5;Animationen;1999;16;3;22.50;USA
78;Harry Potter und der Gefangene von Askaban;136;Abenteuer;2004;12;5;27.00;USA/GB
79;Harry Potter und der Stein der Weisen;152;Abenteuer;2001;12;4;24.90;USA/GB
80;Harry Potter und die Kammer des Schreckens;153;Abenteuer;2002;12;4;25.90;USA/GB
81;Hellboy;117;Action;2004;12;5;22.50;USA
82;Herbstzeitlosen, Die;86;Komödie;2006;0;5;27.00;CH
83;Herr der Ringe 1 - Die Gefährten;171;Abenteuer;2001;12;4;29.90;USA/NZ
84;Herr der Ringe 2 - Die Zwei Türme;172;Fantasy;2002;12;4;27.00;USA/NZ
85;Herr der Ringe 3 - Die Rückkehr des Königs;193;Abenteuer;2003;12;4;27.00;USA/NZ
86;Hui Buh - Das Schlossgespenst;98;Familie;2006;0;5;24.90;D
87;I, Robot;115;Action;2004;12;5;25.90;USA/D
88;Ice Age;81;Abenteuer;2002;0;4;22.50;USA
89;In 80 Tagen um die Welt;120;Action;2004;6;5;27.00;GB/IRL/D/USA
90;Independence Day;138;Science-Fiction & Fantasy;1996;12;3;24.90;USA
91;Indiana Jones Jäger des verlorenen Schatzes;111;Abenteuer;1981;16;3;27.50;USA
92;Indiana Jones und der letzte Kreuzzug;122;Abenteuer;1989;12;3;23.90;USA
93;Indiana Jones und der Tempel des Todes;114;Abenteuer;1984;16;3;24.90;USA
94;Informant!, Der;108;Thriller;2009;12;6;28.00;USA
95;Johnny English;90;Familie;2003;6;4;26.00;GB
96;Jumpin' Jack Flash;101;Komödie;1986;12;3;22.50;USA
97;Jurassic Park 1;123;Abenteuer;1993;12;3;24.90;USA
98;Jurassic Park 2: Vergessene Welt;129;Abenteuer;1997;12;3;24.90;USA
99;Jurassic Park 3;91;Abenteuer;2001;12;4;22.90;USA
100;Kill Bill: Vol. 1;106;Action;2003;18;4;24.90;USA
101;Kill Bill: Vol. 2;131;Action;2004;16;5;24.90;USA
102;King Arthur;121;Action;2004;16;5;29.90;USA/GB/IRL
103;Kleines Arschloch;87;Animationen;1997;12;3;19.90;D
104;Knallharte Jungs;83;Komödie;2002;16;4;19.90;D
105;Knockaround Guys;88;Drama;2001;16;4;22.50;USA
106;Komiker;90;Komödie;2000;12;3;27.50;CH
107;Last Samurai;148;Abenteuer;2003;16;4;24.90;USA/J/NZ
108;Lawrence von Arabien;219;Abenteuer;1962;12;3;32.50;GB
109;Lola rennt;73;Drama;1998;16;3;29.90;D
110;M:i-2;188;Action;2000;16;3;24.90;USA
111;Matrix;131;Action;1999;16;3;27.50;USA
112;Matrix Reloaded;136;Action;2003;16;4;23.50;USA
113;Matrix Revolutions;129;Action;2003;16;4;22.90;USA
114;Mein Name ist Eugen;100;Komödie;2004;6;5;29.90;CH
115;Meine Frau, ihre Schwiegereltern und ich;110;Komödie;2004;6;5;24.90;USA
116;Men in Black II;90;Komödie;2000;12;3;22.50;USA
117;Mindhunters;102;Action;2004;16;5;19.90;USA/NL/GB/FIN
118;Minority Report;145;Action;2002;12;4;24.90;USA
119;Mister Sister;91;Komödie;2000;6;3;14.90;USA
120;Monster AG, Die;92;Animationen;2001;6;4;22.50;USA
121;Mord ist mein Geschäft, Liebling;109;Komödie;2009;12;6;24.90;D
122;Mumie, Die;120;Abenteuer;1999;12;3;22.50;USA
123;München;157;Drama;2005;16;5;24.90;USA/CDN/F
124;My Big Fat Greek Wedding;92;Komödie;2002;0;4;12.50;USA/CDN
125;Nicht auflegen!;78;Drama;2002;16;4;19.90;USA
126;Nur noch 60 Sekunden;113;Action;2002;16;4;21.00;USA
127;Ocean's Eleven;112;Komödie;2001;12;4;24.90;USA
128;Old School - Wir lassen absolut nichts anbrennen;89;Komödie;1989;12;3;17.50;USA
129;Open Water;79;Drama;2003;12;4;21.00;USA
130;Panic Room;112;Thriller;2002;16;4;22.50;USA
131;Party Animals ...Wilder geht's nicht!;93;Komödie;2002;12;4;23.50;USA/D
132;Passion Christi, Die;127;Drama;2004;16;5;24.90;USA/I
133;Patriot, Der;168;Action;2000;16;3;26.50;USA/D
134;Paycheck - Die Abrechnung;114;Action;2003;12;4;17.00;USA
135;Pearl Harbor;176;Drama;2001;12;4;25.00;USA
136;Pianist, Der;143;Drama;2002;12;4;22.50;F/GB/D/PL
137;Platoon;115;Drama;1986;16;3;19.90;USA
138;Princess Bride, The;94;Action;1987;6;3;19.90;USA
139;Pulp Fiction;148;Thriller;1994;16;3;14.90;USA
140;Purpurnen Flüsse, Die;106;Drama;2000;16;3;19.90;F
141;Reisevideos auf DVD: Norwegen;60;Dokumentarfilme;2003;0;4;14.90;D
142;Resident Evil;100;Horror;2002;16;4;22.50;D/GB/F
143;Riddick - Chroniken eines Kriegers;114;Action;2004;12;5;19.90;USA
144;Ring;114;Horror;2002;16;4;17.50;USA/J
145;Road to Perdition;117;Drama;2002;16;4;21.50;USA
146;Ruby & Quentin;84;Komödie;2003;12;4;24.90;F
147;Rush Hour;98;Action;1998;12;3;27.50;USA
148;Rush Hour 2;86;Action;2001;12;4;25.00;USA
149;S.W.A.T. - Die Spezialeinheit;112;Action;2003;16;4;22.50;USA
150;Scary Movie;88;Horror;2000;16;3;24.90;USA
151;Scary Movie 2;78;Horror;2001;16;4;24.90;USA
152;Scary Movie 3;88;Horror;2003;12;4;22.90;USA
153;Schakal, Der;145;Action;1973;16;3;19.90;GB/F
154;Schatten der Wahrheit;124;Thriller;2000;16;3;21.50;USA
155;Schindlers Liste;194;Drama;1993;12;3;27.50;USA
156;School of Rock;108;Komödie;2003;12;4;23.00;USA/DE
157;Schuh des Manitu, Der;82;Komödie;2001;6;4;27.50;D
158;Schweizermacher, Die;103;Komödie;1978;6;3;29.90;CH
159;Scorpion King, The;92;Abenteuer;2002;12;4;24.90;USA/DE
160;Sherlock Holmes;128;Action;2009;12;6;27.50;USA/D
161;Shrek - Der tollkühne Held;87;Animationen;2001;0;4;25.00;USA
162;Shrek 2 - Der tollkühne Held kehrt zurück;89;Animationen;2004;0;5;25.00;USA
163;Sieben;127;Thriller;1995;16;3;22.50;USA
164;Signs - Zeichen;102;Mystery;2002;12;4;24.90;USA
165;Sixth Sense, The;107;Drama;1999;16;3;27.50;USA
166;Sleepy Hollow;101;Horror;1999;12;3;19.90;USA
167;Soldat James Ryan, Der;163;Action;1998;16;3;24.90;USA
168;Spider-Man;116;Abenteuer;2002;12;4;26.00;USA
169;Spider-Man 2;122;Action;2004;12;5;27.50;USA
170;Spiel mir das Lied vom Tod;159;Western;1968;16;3;29.90;I/USA
171;Star Wars: Episode I - Die dunkle Bedrohung;131;Action;1999;6;3;25.00;USA
172;Star Wars: Episode II - Angriff der Klonkrieg;137;Action;2002;12;4;25.00;USA
173;Star Wars: Imperium schlägt zurück, Das;122;Science-Fiction & Fantasy;1980;12;3;25.00;USA
174;Star Wars: Krieg der Sterne;120;Science-Fiction & Fantasy;1977;12;3;25.00;USA
175;Star Wars: Rückkehr der Jedi-Ritter, Die;129;Abenteuer;1983;12;3;25.00;USA
176;Starsky & Hutch - Die Zwei stehen ihren Mann;101;Action;2004;12;5;24.90;USA
177;Stirb langsam 4;129;Thriller;2007;16;5;22.50;USA
178;Terminal;124;Drama;2004;0;5;24.90;USA
179;Terminator 3 - Rebellion der Maschinen;105;Action;2003;16;4;19.90;USA/D/GB
180;The 13th Floor;100;Science-Fiction & Fantasy;1999;12;3;22.50;USA/D
181;The 6th Day;118;Action;2000;16;3;24.90;USA/CDN
182;The Fast and the Furious;102;Action;2001;16;4;22.50;USA
183;The Fast and the Furious: Tokyo Drift;104;Action;2006;12;5;24.50;USA/J
184;Tränen der Sonne;116;Action;2003;16;4;19.90;USA
185;Troja;156;Drama;2004;16;5;27.50;USA/M/GB
186;Truman Show, Die;99;Drama;1998;12;3;24.50;USA
187;Tuxedo - Gefahr im Anzug, The;94;Action;2002;12;4;22.50;USA
188;Unbreakable - Unzerbrechlich;106;Mystery;2000;16;3;24.90;USA
189;Underworld;116;Action;2003;16;4;26.50;USA/GB/H/D
190;Unglaublichen - The Incredibles, Die;111;Abenteuer;2004;6;5;27.50;USA
191;Untergang, Der;150;Drama;2004;12;5;26.00;D/I/A
192;Verdammten des Krieges, Die;109;Drama;1989;16;3;21.00;USA
193;Vergessenen, Die;77;Drama;1950;12;3;23.00;MEX
194;Verrückt nach Mary;114;Komödie;1998;12;3;24.90;USA
195;Verurteilten, Die;137;Drama;1994;12;3;27.50;USA
196;Village - Das Dorf, The;108;Drama;2004;12;5;29.90;USA
197;Was das Herz begehrt - Something's Gotta Give;123;Drama;2003;6;4;27.50;USA
198;Was Frauen wollen;121;Komödie;2000;6;3;24.90;USA
199;Wasabi - Ein Bulle in Japan;90;Action;2001;16;4;22.50;F/J
200;Welcome to the Jungle;100;Abenteuer;2003;12;4;24.90;USA
201;Werner 1 - Beinhart!;93;Animationen;1990;6;3;24.50;D
202;Werner 2 - Das muss kesseln;90;Animationen;1996;6;3;22.00;D
203;Werner 3 - Volles Rooäää!!!;78;Animationen;1999;6;3;21.50;D
204;Werner 4 - Gekotzt wird später!;76;Animationen;2003;6;4;21.50;D
205;Wickie und die starken Männer;87;Familie;2009;0;6;19.90;D
206;Wir waren Helden;132;Drama;2002;18;4;22.50;USA
207;Wunder von Bern, Das;118;Drama;2003;6;4;27.50;D
208;Wutprobe, Die;100;Komödie;2003;12;4;24.90;USA
209;X-Men;100;Action;2000;12;3;27.50;USA
210;XXX - Triple X;119;Action;2002;12;4;26.50;USA
211;Zurück in die Zukunft;116;Komödie;1985;12;3;24.00;USA
212;Zurück in die Zukunft II;108;Abenteuer;1989;12;3;22.00;USA
213;Zurück in die Zukunft III;118;Komödie;1990;12;3;19.90;USA